Pid, Money, HandNum, ShowDownNum, NetWin, NutHand, Rank, Status
7777, 0, 5, 4, -4000, TWO_PAIR, 4, NORMAL
8888, 31980, 475, 32, 27980, FULL_HOUSE, 1, NORMALPid, Money, HandNum, ShowDownNum, NetWin, NutHand, Rank, Status
1111, 20, 387, 3, -3980, THREE_OF_A_KIND, 5, NORMAL
2222, 20, 191, 11, -3980, STRAIGHT, 6, NORMAL
3333, 0, 47, 2, -4000, TWO_PAIR, 8, NORMAL
4444, 20, 87, 4, -3980, ONE_PAIR, 7, NORMAL
5555, 8580, 600, 15, 4580, FULL_HOUSE, 1, NORMAL
6666, 20, 547, 7, -3980, THREE_OF_A_KIND, 3, NORMAL
7777, 0, 469, 7, -4000, TWO_PAIR, 4, NORMAL
8888, 4320, 600, 26, 320, TWO_PAIR, 2, NORMALPid, Money, HandNum, ShowDownNum, NetWin, NutHand, Rank, Status
1111, 20, 529, 0, -3980, NULL, 8, NORMAL
2222, 20, 531, 0, -3980, NULL, 4, NORMAL
3333, 20, 530, 0, -3980, NULL, 6, NORMAL
4444, 0, 532, 0, -4000, NULL, 3, NORMAL
5555, 0, 531, 0, -4000, NULL, 5, NORMAL
6666, 20, 533, 0, -3980, NULL, 2, NORMAL
7777, 0, 530, 0, -4000, NULL, 7, NORMAL
8888, 9580, 533, 0, 5580, NULL, 1, NORMALPid, Money, HandNum, ShowDownNum, NetWin, NutHand, Rank, Status
1111, 0, 2, 2, -4000, TWO_PAIR, 5, NORMAL
2222, 0, 3, 3, -4000, STRAIGHT, 4, NORMAL
3333, 0, 2, 2, -4000, ONE_PAIR, 5, NORMAL
4444, 0, 5, 5, -4000, FLUSH, 3, NORMAL
5555, 32000, 97, 8, 28000, STRAIGHT, 1, NORMAL
6666, 0, 2, 2, -4000, THREE_OF_A_KIND, 5, NORMAL
7777, 0, 2, 2, -4000, ONE_PAIR, 5, NORMAL
8888, 0, 97, 3, -4000, TWO_PAIR, 2, NORMALPid, Money, HandNum, ShowDownNum, NetWin, NutHand, Rank, Status
1111, 0, 549, 549, -4000, FULL_HOUSE, 7, NORMAL
2222, 6496, 600, 600, 2496, FOUR_OF_A_KIND, 3, NORMAL
3333, 2143, 600, 600, -1857, STRAIGHT_FLUSH, 5, NORMAL
4444, 6173, 600, 600, 2173, FOUR_OF_A_KIND, 4, NORMAL
5555, 7434, 600, 600, 3434, FULL_HOUSE, 2, NORMAL
6666, 9753, 600, 600, 5753, FOUR_OF_A_KIND, 1, NORMAL
7777, 0, 507, 507, -4000, FOUR_OF_A_KIND, 8, NORMAL
8888, 0, 562, 60, -4000, FULL_HOUSE, 6, NORMALPid, Money, HandNum, ShowDownNum, NetWin, NutHand, Rank, Status
1111, 0, 2, 2, -4000, FLUSH, 5, NORMAL
2222, 0, 150, 18, -4000, FULL_HOUSE, 2, NORMAL
3333, 31980, 150, 32, 27980, FLUSH, 1, NORMAL
4444, 0, 2, 2, -4000, ONE_PAIR, 5, NORMAL
5555, 0, 2, 2, -4000, FLUSH, 5, NORMAL
6666, 0, 40, 10, -4000, TWO_PAIR, 4, NORMAL
7777, 0, 2, 2, -4000, TWO_PAIR, 5, NORMAL
8888, 20, 69, 4, -3980, ONE_PAIR, 3, NORMALPid, Money, HandNum, ShowDownNum, NetWin, NutHand, Rank, Status
1111, 0, 311, 8, -4000, TWO_PAIR, 3, NORMAL
2222, 30, 294, 2, -3970, STRAIGHT, 6, NORMAL
3333, 0, 458, 14, -4000, THREE_OF_A_KIND, 2, NORMAL
4444, 0, 311, 4, -4000, STRAIGHT, 3, NORMAL
5555, 20, 81, 2, -3980, ONE_PAIR, 7, NORMAL
6666, 0, 41, 2, -4000, TWO_PAIR, 8, NORMAL
7777, 0, 307, 5, -4000, TWO_PAIR, 5, NORMAL
8888, 18630, 458, 20, 14630, FLUSH, 1, NORMALPid, Money, HandNum, ShowDownNum, NetWin, NutHand, Rank, Status
1111, 20, 531, 0, -3980, NULL, 4, NORMAL
2222, 0, 531, 0, -4000, NULL, 5, NORMAL
3333, 20, 533, 0, -3980, NULL, 2, NORMAL
4444, 0, 532, 0, -4000, NULL, 3, NORMAL
5555, 20, 530, 0, -3980, NULL, 6, NORMAL
6666, 20, 529, 0, -3980, NULL, 8, NORMAL
7777, 0, 530, 0, -4000, NULL, 7, NORMAL
8888, 9460, 533, 0, 5460, NULL, 1, NORMALPid, Money, HandNum, ShowDownNum, NetWin, NutHand, Rank, Status
1111, 0, 120, 7, -4000, FULL_HOUSE, 2, NORMAL
2222, 0, 2, 2, -4000, ONE_PAIR, 4, NORMAL
3333, 0, 4, 4, -4000, TWO_PAIR, 3, NORMAL
4444, 0, 2, 2, -4000, THREE_OF_A_KIND, 4, NORMAL
5555, 0, 2, 2, -4000, TWO_PAIR, 4, NORMAL
6666, 0, 2, 2, -4000, ONE_PAIR, 4, NORMAL
7777, 0, 2, 2, -4000, THREE_OF_A_KIND, 4, NORMAL
8888, 32000, 120, 4, 28000, ONE_PAIR, 1, NORMALPid, Money, HandNum, ShowDownNum, NetWin, NutHand, Rank, Status
1111, 9092, 600, 600, 5092, STRAIGHT_FLUSH, 1, NORMAL
2222, 7697, 600, 600, 3697, FOUR_OF_A_KIND, 2, NORMAL
3333, 2330, 600, 600, -1670, FULL_HOUSE, 5, NORMAL
4444, 6571, 600, 600, 2571, STRAIGHT_FLUSH, 3, NORMAL
5555, 4590, 600, 600, 590, FULL_HOUSE, 4, NORMAL
6666, 33, 483, 483, -3967, FULL_HOUSE, 8, NORMAL
7777, 1667, 600, 600, -2333, STRAIGHT_FLUSH, 6, NORMAL
8888, 20, 497, 55, -3980, FOUR_OF_A_KIND, 7, NORMALPid, Money, HandNum, ShowDownNum, NetWin, NutHand, Rank, Status
1111, 0, 2, 2, -4000, TWO_PAIR, 6, NORMAL
2222, 0, 206, 24, -4000, FULL_HOUSE, 2, NORMAL
3333, 0, 2, 2, -4000, ONE_PAIR, 6, NORMAL
4444, 0, 2, 2, -4000, ONE_PAIR, 6, NORMAL
5555, 32000, 206, 29, 28000, FULL_HOUSE, 1, NORMAL
6666, 0, 7, 2, -4000, THREE_OF_A_KIND, 3, NORMAL
7777, 0, 6, 4, -4000, TWO_PAIR, 5, NORMAL
8888, 0, 7, 2, -4000, ONE_PAIR, 3, NORMALPid, Money, HandNum, ShowDownNum, NetWin, NutHand, Rank, Status
