Pid, Money, HandNum, ShowDownNum, NetWin, NutHand, Rank, Status
8888, 0, 105, 3, -4000, TWO_PAIR, 6, NORMALPid, Money, HandNum, ShowDownNum, NetWin, NutHand, Rank, Status
1111, 15020, 600, 11, 11020, FLUSH, 1, NORMAL
2222, 0, 11, 6, -4000, FULL_HOUSE, 7, NORMAL
3333, 0, 2, 2, -4000, TWO_PAIR, 8, NORMAL
4444, 0, 214, 4, -4000, FULL_HOUSE, 4, NORMAL
5555, 20, 93, 3, -3980, THREE_OF_A_KIND, 6, NORMAL
6666, 0, 166, 5, -4000, TWO_PAIR, 5, NORMAL
7777, 0, 233, 5, -4000, FLUSH, 3, NORMAL
8888, 3320, 600, 11, -680, FLUSH, 2, NORMALPid, Money, HandNum, ShowDownNum, NetWin, NutHand, Rank, Status
1111, 19020, 600, 80, 15020, FULL_HOUSE, 1, NORMAL
2222, 0, 2, 2, -4000, TWO_PAIR, 4, NORMAL
3333, 0, 199, 0, -4000, NULL, 3, NORMAL
4444, 0, 2, 2, -4000, TWO_PAIR, 4, NORMAL
5555, 0, 2, 2, -4000, TWO_PAIR, 4, NORMAL
6666, 0, 2, 2, -4000, TWO_PAIR, 4, NORMAL
7777, 0, 2, 2, -4000, TWO_PAIR, 4, NORMAL
8888, 12980, 600, 79, 8980, FOUR_OF_A_KIND, 2, NORMALPid, Money, HandNum, ShowDownNum, NetWin, NutHand, Rank, Status
1111, 0, 25, 11, -4000, THREE_OF_A_KIND, 4, NORMAL
2222, 0, 197, 7, -4000, FULL_HOUSE, 2, NORMAL
3333, 0, 3, 3, -4000, STRAIGHT, 6, NORMAL
4444, 0, 6, 6, -4000, STRAIGHT, 5, NORMAL
5555, 0, 2, 2, -4000, THREE_OF_A_KIND, 8, NORMAL
6666, 29400, 197, 7, 25400, FULL_HOUSE, 1, NORMAL
7777, 0, 3, 2, -4000, ONE_PAIR, 6, NORMAL
8888, 0, 43, 3, -4000, TWO_PAIR, 3, NORMALPid, Money, HandNum, ShowDownNum, NetWin, NutHand, Rank, Status
1111, 0, 36, 2, -4000, ONE_PAIR, 5, NORMAL
2222, 0, 202, 3, -4000, TWO_PAIR, 3, NORMAL
3333, 20, 240, 0, -3980, NULL, 2, NORMAL
4444, 0, 68, 17, -4000, THREE_OF_A_KIND, 4, NORMAL
5555, 0, 10, 2, -4000, ONE_PAIR, 6, NORMAL
6666, 0, 6, 2, -4000, ONE_PAIR, 8, NORMAL
7777, 0, 7, 6, -4000, TWO_PAIR, 7, NORMAL
8888, 25440, 240, 8, 21440, FULL_HOUSE, 1, NORMALPid, Money, HandNum, ShowDownNum, NetWin, NutHand, Rank, Status
1111, 0, 2, 2, -4000, TWO_PAIR, 6, NORMAL
2222, 0, 70, 4, -4000, TWO_PAIR, 2, NORMAL
3333, 0, 2, 2, -4000, ONE_PAIR, 6, NORMAL
4444, 0, 2, 2, -4000, ONE_PAIR, 6, NORMAL
5555, 0, 5, 4, -4000, TWO_PAIR, 5, NORMAL
6666, 0, 9, 3, -4000, TWO_PAIR, 4, NORMAL
7777, 31680, 70, 12, 27680, FULL_HOUSE, 1, NORMAL
8888, 0, 45, 3, -4000, TWO_PAIR, 3, NORMALPid, Money, HandNum, ShowDownNum, NetWin, NutHand, Rank, Status
1111, 20, 496, 0, -3980, NULL, 2, NORMAL
2222, 20, 492, 0, -3980, NULL, 6, NORMAL
3333, 0, 494, 0, -4000, NULL, 4, NORMAL
4444, 0, 493, 0, -4000, NULL, 5, NORMAL
5555, 20, 494, 0, -3980, NULL, 3, NORMAL
6666, 0, 492, 0, -4000, NULL, 7, NORMAL
7777, 10960, 496, 2, 6960, THREE_OF_A_KIND, 1, NORMAL
8888, 0, 228, 2, -4000, ONE_PAIR, 8, NORMALPid, Money, HandNum, ShowDownNum, NetWin, NutHand, Rank, Status
1111, 20, 385, 12, -3980, FLUSH, 3, NORMAL
2222, 0, 2, 2, -4000, ONE_PAIR, 8, NORMAL
3333, 0, 14, 7, -4000, FLUSH, 7, NORMAL
4444, 9340, 600, 8, 5340, THREE_OF_A_KIND, 1, NORMAL
5555, 4460, 600, 9, 460, FULL_HOUSE, 2, NORMAL
6666, 0, 25, 2, -4000, ONE_PAIR, 6, NORMAL
7777, 0, 287, 2, -4000, ONE_PAIR, 4, NORMAL
8888, 0, 179, 7, -4000, THREE_OF_A_KIND, 5, NORMALPid, Money, HandNum, ShowDownNum, NetWin, NutHand, Rank, Status
1111, 0, 2, 2, -4000, TWO_PAIR, 5, NORMAL
2222, 0, 2, 2, -4000, TWO_PAIR, 5, NORMAL
3333, 20, 310, 0, -3980, NULL, 2, NORMAL
4444, 0, 93, 15, -4000, TWO_PAIR, 3, NORMAL
5555, 0, 2, 2, -4000, THREE_OF_A_KIND, 5, NORMAL
6666, 0, 4, 4, -4000, THREE_OF_A_KIND, 4, NORMAL
7777, 0, 2, 2, -4000, TWO_PAIR, 5, NORMAL
8888, 28080, 310, 11, 24080, STRAIGHT, 1, NORMALPid, Money, HandNum, ShowDownNum, NetWin, NutHand, Rank, Status
1111, 32000, 103, 11, 28000, STRAIGHT, 1, NORMAL
2222, 0, 3, 2, -4000, TWO_PAIR, 5, NORMAL
3333, 0, 2, 2, -4000, ONE_PAIR, 6, NORMAL
4444, 0, 2, 2, -4000, ONE_PAIR, 6, NORMAL
5555, 0, 8, 8, -4000, TWO_PAIR, 3, NORMAL
6666, 0, 5, 2, -4000, TWO_PAIR, 4, NORMAL
7777, 0, 2, 2, -4000, HIGH_CARD, 6, NORMAL
8888, 0, 103, 4, -4000, FULL_HOUSE, 2, NORMALPid, Money, HandNum, ShowDownNum, NetWin, NutHand, Rank, Status
1111, 0, 215, 3, -4000, STRAIGHT, 3, NORMAL
2222, 0, 23, 2, -4000, ONE_PAIR, 7, NORMAL
3333, 20, 259, 0, -3980, NULL, 2, NORMAL
4444, 0, 13, 12, -4000, FLUSH, 8, NORMAL
5555, 0, 65, 7, -4000, STRAIGHT, 5, NORMAL
6666, 26380, 259, 9, 22380, FULL_HOUSE, 1, NORMAL
7777, 0, 30, 15, -4000, FULL_HOUSE, 6, NORMAL
8888, 0, 96, 4, -4000, TWO_PAIR, 4, NORMALPid, Money, HandNum, ShowDownNum, NetWin, NutHand, Rank, Status
1111, 0, 4, 4, -4000, FLUSH, 5, NORMAL
2222, 20, 325, 3, -3980, TWO_PAIR, 2, NORMAL
3333, 0, 20, 11, -4000, FLUSH, 3, NORMAL
4444, 0, 2, 2, -4000, ONE_PAIR, 6, NORMAL
5555, 0, 2, 2, -4000, ONE_PAIR, 6, NORMAL
6666, 0, 10, 2, -4000, TWO_PAIR, 4, NORMAL
7777, 0, 2, 2, -4000, TWO_PAIR, 6, NORMAL
8888, 27600, 325, 7, 23600, TWO_PAIR, 1, NORMALPid, Money, HandNum, ShowDownNum, NetWin, NutHand, Rank, Status
1111, 0, 508, 0, -4000, NULL, 3, NORMAL
2222, 0, 506, 0, -4000, NULL, 7, NORMAL
3333, 20, 506, 0, -3980, NULL, 6, NORMAL
4444, 0, 507, 0, -4000, NULL, 5, NORMAL
5555, 20, 507, 0, -3980, NULL, 4, NORMAL
6666, 20, 508, 0, -3980, NULL, 2, NORMAL
7777, 0, 343, 5, -4000, TWO_PAIR, 8, NORMAL
8888, 9500, 508, 5, 5500, FULL_HOUSE, 1, NORMALPid, Money, HandNum, ShowDownNum, NetWin, NutHand, Rank, Status
1111, 7400, 600, 8, 3400, FULL_HOUSE, 2, NORMAL
